Tweet	IsCureClaim	IsCheckworthy
RT @USER : @USER Dementia , Nutrition , and Yellow Plates / CupsThis week 's newspaper piece , plz R / T stay safe all xx ~ HTTPURL ...	False	False
RT @USER : Thank you @USER @USER for giving us copies of @USER book in honour of #WorldBookNight We loo ...	False	False
Association of Cardiovascular Risk Trajectory With Cognitive Decline and Incident Dementia HTTPURL	False	False
@USER @USER ooo good excuse , look at the footage he was being directed away regardless how you want to spin in it you little head . look at his facial expressions also , He is old man with dementia and should not be running our country . ( he did n't get the votes )	False	False
RT @USER : Turns out my favourite flower might be useful in treating Alzheimer 's amongst other things . How lovely ! I 'm tickled by th ...	True	True
@USER Idiot , you were elected ( falsely i might add ) , during a pandemic and we were in a lock down . Of course people are back to work , and unemployment is down . Not because of you , Dementia Joe !	False	False
RT @USER : Had a really great chat with Mervyn @USER about my PhD research and where I am at . It is good to build networks with ot ...	False	False
This is my Dad back in 1964 with his BSA Super Rocket in Norway . He and his mate Johnny took the ferry from Newcastle to Oslo . Dad said they vomited a lot as the sailing was so rough . Dad sadly has dementia and Alzheimer 's now but he was responsible for getting me into bikes . :red_heart: HTTPURL	False	False
RT @USER : “ Arcane Summons , ” by Keith Parkinson , would grace the cover of Palladium 's “ Adventures in the Northern Wilderness . ” Th ...	False	False
Eli Lilly takes to social media for a personal touch to its Alzheimer 's campaign HTTPURL	False	False
mental illness	False	False
@USER Do you guys really think that Trump has dementia ? ! And Biden does n't ?	False	False
Here are a few references you could try : HTTPURL	False	False
@USER @USER @USER Better than a dementia riddled pedophile that shits his pants and sells our country out to China . But you must like a 8.5 % pay decrease , illegals flooding our cities , crime through the roof , and no longer being feared as a world power . Profile pic says it all champ !	False	False
RT @USER : @USER Son , aged 20 , was visiting his Nanna in hospital . She has dementia and having asked him the same 5 questions for ...	False	False
Yoga and Parkinson 's Disease HTTPURL #vlog	True	True
Saw this article in my email and I guess I did n't realize “ neurotic ” was still being used clinically . What say you & #medtwitter ? Made me personally feel a bit of stigma :anxious_face_with_sweat: HTTPURL	False	False
@USER You are n't doing anything . You lack the skill to do anything . For life to be this bad , you must be working very hard , dementia patient ...	False	False
MS and dementia HTTPURL	False	False
The Parkinson - คืนนี้ ( Not Yet ) | ( OFFICIAL MV ) HTTPURL ผ่าน @USER	False	False
@USER more about whether that qualifies someone to diagnose parkinson 's disease :face_with_tears_of_joy: :face_with_tears_of_joy:	False	False
